#,Zip Code,Location,City,Population,Avg. Income/H/hold
1,89141,"35.982470, -115.205227","Las Vegas, Nevada",262,"$108,579.00"
2,89148,"36.063771, -115.315877","Las Vegas, Nevada",913,"$92,707.00"
3,89139,"36.032308, -115.208632","Las Vegas, Nevada","2,297","$74,706.00"
4,89149,"36.279319, -115.300319","Las Vegas, Nevada","11,312","$74,482.00"
5,89144,"36.171202, -115.345319","Las Vegas, Nevada","11,772","$70,136.00"
6,89143,"36.659049, -115.185865","Las Vegas, Nevada","2,408","$67,411.00"
7,89129,"36.235825, -115.298399","Las Vegas, Nevada","32,441","$63,373.00"
8,89135,"36.119441, -115.323855","Las Vegas, Nevada","3,539","$62,629.00"
9,89131,"36.294631, -115.235476","Las Vegas, Nevada","10,968","$61,779.00"
10,89113,"36.060558, -115.263553","Las Vegas, Nevada","8,276","$61,057.00"
11,89130,"36.255385, -115.228127","Las Vegas, Nevada","24,598","$60,129.00"
12,89134,"36.197693, -115.350881","Las Vegas, Nevada","25,116","$59,486.00"
13,89123,"36.018330, -115.152135","Las Vegas, Nevada","46,877","$57,630.00"
14,89147,"36.112898, -115.279134","Las Vegas, Nevada","39,478","$55,295.00"
15,89145,"36.167821, -115.278992","Las Vegas, Nevada","19,337","$54,320.00"
16,89124,"36.101527, -115.390784","Las Vegas, Nevada","1,837","$53,056.00"
17,89142,"36.147310, -115.037465","Las Vegas, Nevada","22,606","$52,897.00"
18,89117,"36.140961, -115.281091","Las Vegas, Nevada","51,545","$52,328.00"
19,89120,"36.081624, -115.095854","Las Vegas, Nevada","21,711","$51,449.00"
20,89128,"36.196247, -115.263037","Las Vegas, Nevada","40,538","$51,161.00"
21,89156,"36.219187, -115.011923","Las Vegas, Nevada","22,568","$46,543.00"
22,89146,"36.143209, -115.226615","Las Vegas, Nevada","18,265","$44,820.00"
23,89108,"36.205406, -115.223280","Las Vegas, Nevada","66,558","$44,204.00"
24,89110,"36.157705, -114.996925","Las Vegas, Nevada","61,898","$43,073.00"
25,89118,"36.074638, -115.213929","Las Vegas, Nevada","16,471","$42,067.00"
26,89121,"36.121616, -115.090900","Las Vegas, Nevada","61,669","$40,542.00"
27,89107,"36.171241, -115.209288","Las Vegas, Nevada","36,180","$40,444.00"
28,89103,"36.112464, -115.212086","Las Vegas, Nevada","46,429","$36,953.00"
29,89122,"36.107704, -115.044485","Las Vegas, Nevada","25,795","$35,431.00"
30,89104,"36.151209, -115.109333","Las Vegas, Nevada","39,779","$34,252.00"
31,89102,"36.145187, -115.186547","Las Vegas, Nevada","37,600","$32,674.00"
32,89115,"36.271568, -114.998333","Las Vegas, Nevada","51,681","$31,370.00"
33,89119,"36.084617, -115.145950","Las Vegas, Nevada","48,693","$30,609.00"
34,89106,"36.183293, -115.165226","Las Vegas, Nevada","25,563","$28,527.00"
35,89109,"36.124824, -115.153683","Las Vegas, Nevada","40,855","$27,429.00"
36,89101,"36.172765, -115.123047","Las Vegas, Nevada","52,617","$23,166.00"